EntityRegistrantme;EntityCentralIndexKey;standardIndustrialClassification;DocumentFiscalYearFocus;ETR;Tax_Credit_Total;NetIncomeAvailableToCommonStockholdersBasic;NonoperatingIncomeLossPlusInterestAndDebtExpense;IncomeFromContinuingOperationsBeforeTax;Tax_Settlement_Total;Federal_Income;OtherComprehensiveIncome;ComprehensiveIncomeAttributableToNoncontrollingInterest;NetIncomeAttributableToParent;CostsAndExpenses;Foreign_Income;IncomeFromEquityMethodInvestments;Other_Reconciling_Total;State_Local_Income;OperatingIncomeLoss;OtherOperatingIncome;GrossProfit;PreferredStockDividendsAndOtherAdjustments;IncomeFromDiscontinuedOperations;ComprehensiveIncome;Revenues;IncomeTaxExpenseBenefit;NondeductibleExpense_Total;OperatingExpenses;ComprehensiveIncomeAttributableToParent;NetIncomeAttributableToNoncontrollingInterest;NetIncomeLoss;Tax_Contingency_Total;IncomeBeforeEquityMethodInvestments;Deduction_Total;ExtraordaryItemsGainLoss;IncomeFromContinuingOperationsAfterTax;CostOfRevenue
HENRY SCHEIN INC;1000228;WHOLESALE-MEDICAL, DENTAL & HOSPITAL EQUIPMENT & SUPPLIES [5047];2012;0.311;;388076000;;604188000;;211466000;31175000;36216000;388076000;;-17979000;7058000;;21665000;618961000;;;;;454563000;;187858000;;;418347000;35312000;423388000;;604188000;;;;
CORE LABORATORIES N V;1000229;OIL, GAS FIELD SERVICES, NBC [1389];2012;;;216071000;;288460000;;72115000;;;216071000;;-864000;;2220000;2895000;;;;;;209938000;981080000;71848000;917000;;209397000;541000;216612000;;288460000;;;;
OPTICAL CABLE CORP;1000230;DRAWING AND INSULATING NONFERROUS WIRE [3357];2013;;;;;;;93605;;;;;;;;;;;;;;;;;;;;;;;;;;;
KENTUCKY BANCSHARES INC /KY/;1000232;STATE COMMERCIAL BANKS [6022];2012;0.19;;7007562;;8651235;;;;;;;;;;;;;;;;7521075;28232911;1643673;;;7521075;;7007562;;8651235;;;;
IMPAC MORTGAGE HOLDINGS INC;1000298;REAL ESTATE INVESTMENT TRUSTS [6798];2012;;;-3375000;;14289000;;5001000;;;-3375000;;;;;955000;;;;;-15549000;;478647000;1244000;;;;871000;-2504000;;14289000;;;;
SCHWEITZER MAUDUIT INTERTIOL INC;1000623;PAPER MILLS [2621];2012;0.394;;78700000;;131600000;;46100000;9100000;;79800000;;-4100000;4000000;;;133400000;;250900000;;-3900000;88900000;;51900000;;87400000;88900000;;79800000;;131600000;;;;537200000
NOVAVAX INC;1000694;BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES) [2836];2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WATERS CORP /DE/;1000697;LABORATORY ALYTICAL INSTRUMENTS [3826];2012;0.054;;;;487625000;;170669000;;;;;-108893000;;;3639000;511490000;;1106027000;;;471103000;1843641000;26182000;;;;;461443000;;487625000;;;;235954000
INSPERITY  INC.;1000753;SERVICES-HELP SUPPLY SERVICES [7363];2012;;;40402000;;68290000;;23901000;;;40402000;;;;;2497000;67494000;;382221000;;;40394000;;27888000;1663000;314727000;;;40402000;;68290000;;;;
WALT DISNEY CO/;1001039;CABLE & OTHER PAY TELEVISION SERVICES [4841];2013;0.31;;;;;;;2110000000;;;;;688000000;;;;;;;;;;;;;;500000000;;;;;;;
DISH Network CORP;1001082;CABLE & OTHER PAY TELEVISION SERVICES [4841];2012;0.329;;636687000;;;;;106760000;-10947000;;;;;;;1221835000;;;;;732500000;;307029000;;;743447000;-10947000;625740000;;;;;;1687327000
BROADWAY FINCIAL CORP \\DE\\;1001171;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2012;;167000;-693000;;1417000;;482000;;;588000;;;;;104000;;;;1281000;;335000;19891000;829000;;;335000;;588000;;1417000;;;;
ESTEE LAUDER COMPANIES INC;1001250;PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS [2844];2013;0.306;;1019800000;;1475200000;;;56300000;4900000;1019800000;;;;;;1526000000;;;;;1080100000;;451400000;;;1075200000;4000000;1023800000;;1475200000;;;;2025900000
TENGASCO INC;1001614;CRUDE PETROLEUM & TURAL GAS [1311];2012;;;;;6557000;;274000;;;-67000;;;;;43000;7359000;;;;-4311000;;20557000;87000;;13198000;;;-67000;;6557000;;;;
SOUTHERN COPPER CORP/;1001838;METAL MINING [1000];2012;0.363;;1934632000;;;;;;6736000;;;;;;;;;;;;1932526000;;1080872000;;;1925790000;6740000;1941372000;;;;;;
INTEVAC INC;1001902;SPECIAL INDUSTRY MACHINERY, NEC [3559];2012;-0.315;;-55319000;;-42079000;;-14728000;355000;;-55319000;;-428000;;367000;-15000;-42533000;;34158000;;;-54964000;83424000;13240000;;78898000;-54964000;;-55319000;;-42079000;;;;37932000
WESTELL TECHNOLOGIES INC;1002135;TELEPHONE & TELEGRAPH APPARATUS [3661];2013;-2.084;;-44038000;;-14101000;;;-11000;;-44038000;;;;;;-14276000;;14324000;;-545000;-44049000;40044000;29392000;;28600000;-44049000;;-44038000;;;;;;25720000
Nuance Communications  Inc.;1002517;SERVICES-PREPACKAGED SOFTWARE [7372];2013;-0.192;;-115238000;;-96680000;;-33838000;;;-115238000;;1086000;;;-3900000;48482000;;1088729000;;;-101395000;1957630000;18558000;1723000;1040247000;-101395000;;-115238000;;-96680000;;;;766550000
STAR GAS PARTNERS LP;1002590;RETAIL-RETAIL STORES, NEC [5990];2013;;;29906000;;49827000;;17440000;3760000;;29906000;;;;97000;3192000;66005000;5521000;353128000;;;33666000;1741796000;19921000;;250210000;33666000;;29906000;;49827000;;;;196659000
MSC INDUSTRIAL DIRECT CO INC;1003078;WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT [5084];2013;0.379;;236214000;;383429000;;;;;237995000;;;;;;385526000;;1118516000;;;236011000;;145434000;;732990000;236011000;;237995000;;383429000;;;;1339133000
HEADWATERS INC;1003344;CONCRETE PRODUCTS, EXCEPT BLOCK & BRICK [3272];2013;0.32;;;;12209000;;4273000;;;7137000;;;0;;1934000;54411000;;192482000;;-55000;;702576000;3924000;;138071000;;;7137000;;;;;;510094000
DUKE REALTY CORP;1003410;REAL ESTATE [6500];2012;;;-126145000;;-87889000;;;1704000;;;897613000;;4674000;;;160959000;;;;11918000;-74164000;1109440000;-103000;;;;-1891000;-75868000;;;;;;
TWIN DISC INC;100378;GENERAL INDUSTRIAL MACHINERY & EQUIPMENT [3560];2013;;;3882000;;9237000;;3104000;;369000;3882000;;88000;;583000;296000;10013000;;80025000;;;13020000;285282000;4986000;;;12651000;369000;4251000;;9237000;84000;;;205257000
GILLA INC.;1004411;TOBACCO PRODUCTS [2100];2012;;;;;;;;;;-1098137;;;;;;;;;;;-1101211;0;;;1072755;-1101211;;-1098137;;;;;;
OCEANFIRST FINCIAL CORP;1004702;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2012;;;20020000;;30947000;;10831000;;;20020000;;;;;757000;;;;;;22537000;87615000;10927000;;52891000;22537000;;20020000;;30947000;;;;
BARNWELL INDUSTRIES INC;10048;CRUDE PETROLEUM & TURAL GAS [1311];2013;;;;;;;-3521000;;;;;;;;-365000;;;;;;;;;;;;;;;;;;;
TYSON FOODS INC;100493;POULTRY SLAUGHTERING AND PROCESSING [2015];2013;0.326;17000000;778000000;27000000;1257000000;;;-45000000;0;778000000;;;;;;1375000000;;;;-70000000;733000000;;409000000;;;733000000;0;778000000;;;;;;
CONCIERGE TECHNOLOGIES INC;1005101;SERVICES-BUSINESS SERVICES, NEC [7389];2013;;;;;;;;;;;;;;;;;;969943;;;;2207756;22763;;;;;-277144;;;;;;1237813
United Continental Holdings  Inc.;100517;AIR TRANSPORTATION, SCHEDULED [4512];2012;;;-723000000;;-724000000;;-2.53E+08;;;-723000000;;7.00E+06;;;-15000000;39000000;;;;;-1352000000;;-1000000;;;-1352000000;;-723000000;;-724000000;;;;
DEPOMED INC;1005201;PHARMACEUTICAL PREPARATIONS [2834];2012;;;;;-29872000;;-10454000;;;-29781000;121169000;3000;;1333000;-48000;-30353000;;;;;-29737000;90816000;-91000;;;-29737000;;-29781000;;-29872000;;;;6039000
DIME COMMUNITY BANCSHARES INC;1005409;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2012;0.4002;;40124000;;67198000;;23519000;;;40308000;;;;-328000;4341000;;;;-184000;;40377000;195954000;26890000;;;40377000;;40308000;;67198000;;;;
TOYS R US INC;1005414;RETAIL-HOBBY, TOY & GAME SHOPS [5945];2012;0.576;;19000000;;92000000;;;-47000000;1000000;38000000;;;;;;556000000;;;;;-8000000;;53000000;;;-9000000;1000000;39000000;;92000000;;;;
UGI UTILITIES INC;100548;GAS & OTHER SERVICES COMBINED [4932];2013;0.403;;;;171010000;;;;;102098000;730393000;;;;;210319000;4828000;;;;123195000;940712000;68912000;;188266000;123195000;;102098000;;171010000;;;;
ARGAN INC;100591;CONSTRUCTION SPECIAL TRADE CONTRACTORS [1700];2013;;;23265000;;35742000;;12510000;;;23265000;;;;;1459000;35785000;;50135000;;-285000;;278635000;13640000;;;;-1448000;21817000;;;;;;228500000
PURE BIOSCIENCE  INC.;1006028;MISCELLANEOUS CHEMICAL PRODUCTS [2890];2013;0;;;;;;;;;-7671000;;;;;;-7339000;;;;;;;;;8159000;;;-7671000;;;;;;565000
LORAL SPACE & COMMUNICATIONS INC.;1006269;RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT [3663];2012;;;;;;;-9524000;;;;;;;;-34605000;;;;;;;;;603000;;;;;;;;;;
EVOLUTION PETROLEUM CORP;1006655;CRUDE PETROLEUM & TURAL GAS [1311];2013;;;5954126;;10658189;;3623784;;;6628428;;;;;413019;10701354;;;;;;21349920;4029761;;10648566;;;6628428;;;;;;
CONSUMERS BANCORP INC /OH/;1006830;TIOL COMMERCIAL BANKS [6021];2013;;;2669000;;3303000;;1123000;;;2669000;;;;;;;;;;;1049000;13141000;634000;;;1049000;;2669000;;3303000;;;;
COFFEE HOLDING CO INC;1007019;BEVERAGES [2080];2012;;;;;;;1378625;;;2485677;;;;;88926;4399664;;12006933;;;;;1470381;;7607269;;;2485677;;;;;;161649282
Unico American Corporation;100716;FIRE, MARINE & CASUALTY INSURANCE [6331];2012;;;1953728;;;;970711;;;1953728;29901534;;;8856;-78259;;10136;;;;1115426;32756570;901308;;;1115426;;1953728;;;;;;
PRGX GLOBAL  INC.;1007330;SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MAGEMENT [8700];2012;0.194;;5392000;;6689000;;2274000;;;5392000;;486000;;131000;24000;7278000;;;;;5755000;208503000;1297000;;201225000;5755000;;5392000;;6689000;;;;134390000
KVH INDUSTRIES INC \\DE\\;1007587;RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT [3663];2012;;;3580615;;6843172;;2395000;;;3580615;130542325;-27000;;;674000;6569885;;;;;;137112210;3262557;116000;;;;3580615;;6843172;;;;30362866
UNION CARBIDE CORP /NEW/;100790;INDUSTRIAL ORGANIC CHEMICALS [2860];2012;-0.175;0;-114000000;;;;-3.40E+07;-213000000;;-114000000;;;59000000;-3000000;12000000;;-14000000;;;;-327000000;177000000;17000000;;;-327000000;;-114000000;9000000;;;;;
HIGHLANDS BANKSHARES INC /VA/;1008579;STATE COMMERCIAL BANKS [6022];2012;;;2022000;;2242000;;763000;;;2022000;;;;;;;;;;;2210000;25154000;220000;;;2210000;;2022000;;2242000;;;;
TUPPERWARE BRANDS CORP;1008654;PLASTICS PRODUCTS, NEC [3089];2012;;;193000000;;272800000;-2000000;95500000;24200000;;193000000;;-26400000;0;79800000;;306500000;;1727400000;0;;217200000;;79800000;;;217200000;;193000000;;;;;;856400000
ACORDA THERAPEUTICS INC;1008848;BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES) [2836];2012;-5.385;;154958000;;24268000;;;;;154958000;;;;;;25602000;;;;;154954000;305814000;-130690000;;280212000;154954000;;154958000;;24268000;;;;57007000
BROCADE COMMUNICATIONS SYSTEMS INC;1009626;COMPUTER COMMUNICATIONS EQUIPMENT [3576];2013;0.369;;;;330461000;;;;;208623000;;;0;;;308483000;;1408879000;;;205043000;;121838000;;1100396000;205043000;;208623000;;330461000;;;;813985000
CAPSTONE TURBINE Corp;1009759;ENGINES & TURBINES [3510];2013;;;;;;;-7436000;;;;;675000;;;-661000;;;;;;;;;;;;;;;;;;;
JAKKS PACIFIC INC;1009829;GAMES, TOYS & CHILDREN'S VEHICLES (NO DOLLS & BICYCLES) [3944];2012;-4.62;;-104800000;;;;;;;-104800000;;;130000;;;-13222000;;197937000;;;-104874000;666762000;86151000;;;-104874000;;-104800000;;;;;;468825000
SIGA TECHNOLOGIES INC;1010086;PHARMACEUTICAL PREPARATIONS [2834];2012;0.351;;;;-22372306;;;;;-14528153;;;;;;-22535737;;;;;-14528153;;-7844153;;31506572;-14528153;;-14528153;;-22372306;;;;
PROVIDENT FINCIAL HOLDINGS INC;1010470;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2013;0.396;;25797000;;;;14950000;-72000;;25797000;;;;-292000;3002000;;;;;;25725000;44161000;16916000;63000;12461000;25725000;;25797000;;;;;;
SYKES ENTERPRISES INC;1010612;SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN [7373];2012;;699000;;;45157000;;15805000;10420000;;28423000;1079919000;-7078000;;;-61000;47779000;;;;-11527000;38843000;1127698000;5207000;3531000;;38843000;;28423000;-613000;45157000;;;;737952000
YAHOO INC;1011006;SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN [7373];2012;;;;;;-4711000;1824973000;-126620000;5123000;;;-135753000;676438000;;237637000;566368000;;;;;;;1940043000;;;;5123000;;;;;;;
Medical Information Technology  Inc.;1011452;SERVICES-PREPACKAGED SOFTWARE [7372];2012;;;130546536;;;;;;;130546536;;;;;;191605850;;;;;140386551;597838787;15422805;;406232938;140386551;;130546536;;;;;;
Golden Minerals Co;1011509;GOLD & SILVER ORES [1040];2012;;;-92025000;;-100039000;;-34013000;;;;129296000;4734000;;;;-103210000;2482000;;;;-91993000;26086000;-8014000;;;-91993000;;-92025000;;-100039000;;;;
KNOLL INC;1011570;MISCELLANEOUS FURNITURE & FIXTURES [2590];2012;0.362;;50001000;;78336000;;;;;;;;;;;87901000;;294350000;;;39624000;887499000;28335000;;;39624000;;50001000;;78336000;;;;593149000
UNITED FIRE GROUP INC;101199;FIRE, MARINE & CASUALTY INSURANCE [6331];2012;;;40212000;;46074000;;16126000;;;40212000;;;;-728000;;;;;;;52814000;813243000;5862000;;;52814000;;40212000;;46074000;-42000;;;
Energy Transfer Partners  L.P.;1012569;TURAL GAS TRANSMISSION [4922];2012;;;1569000000;;1820000000;;1.00E+06;-25000000;74000000;1569000000;;;142000000;18000000;16000000;1394000000;;;;-109000000;1623000000;;63000000;;900000000;1549000000;79000000;1648000000;;;;;;
GENESEE & WYOMING INC.;1012620;RAILROADS, LINE-HAUL OPERATING [4011];2012;0.556;;48058000;;83396000;;;9376000;;52433000;;;15557000;;;190322000;;;;-118000;61809000;874916000;46402000;;684594000;61809000;;52433000;;83396000;;;;
FBL FINCIAL GROUP INC;1012771;LIFE INSURANCE [6311];2012;;;82729000;;118184000;;41364000;112008000;;79940000;;;4683000;;;;;;;-2252000;191865000;655540000;40071000;;;191948000;-83000;79857000;;118184000;;;;
ARADIGM CORP;1013238;ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS [3845];2012;;662000;-8226000;;;;-2878000;;;-8226000;;;;;-648000;-6704000;;;;;-8227000;;0;;7711000;-8227000;;-8226000;;;;;;
NORWOOD FINCIAL CORP;1013272;STATE COMMERCIAL BANKS [6022];2012;0.265;;8403000;;11439000;;;-518000;;8403000;;;;;;;;;;;7885000;29414000;3036000;;;7885000;;8403000;;11439000;;;;
ANSYS INC;1013462;SERVICES-PREPACKAGED SOFTWARE [7372];2012;0.307;;203483000;;293547000;;;;;203483000;;;;;;294253000;;658502000;;;200258000;798018000;90064000;;364249000;200258000;;203483000;;293547000;;;;139516000
BJs RESTAURANTS INC;1013488;RETAIL-EATING PLACES [5812];2012;0.264;;;;42656000;;;;;31409000;667460000;;;;;40865000;;;;;;;11247000;;;;;31409000;;42656000;;;;175636000
ENDOLOGIX INC /DE/;1013606;SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841];2012;;;-35774000;;-35243000;;-11983000;;;-35774000;;4736000;;;116000;-21891000;;80664000;;;-35996000;;531000;;102555000;-35996000;;-35774000;;-35243000;;;;25282000
UMB FINCIAL CORP;101382;TIOL COMMERCIAL BANKS [6021];2012;0.279;1090000;122717000;;170224000;;59578000;;;122717000;;;;;2475000;;;;;;127206000;339685000;47507000;;;127206000;;122717000;;170224000;;;;
PEGASYSTEMS INC;1013857;SERVICES-COMPUTER PROCESSING & DATA PREPARATION [7374];2012;0.293;;21868000;;30945000;;;1526000;;21868000;;;;;;31426000;;304330000;;;23394000;461710000;9077000;;272904000;23394000;;21868000;;30945000;;;;157380000
VERISIGN INC/CA;1014473;SERVICES-COMPUTER PROGRAMMING SERVICES [7371];2012;;;;;412695000;;144443000;2696000;0;320032000;416265000;-51780000;;;10003000;457327000;;;;7547000;322728000;873592000;100210000;;;322728000;;320032000;306000;412695000;;;;167600000
UNITED REFINING CO;101462;PETROLEUM REFINING [2911];2013;;;;;267027000;;93465000;12447000;;168683000;;;;;;328608000;;;;;181130000;;98344000;;;;;168683000;;267027000;;;;
BioScrip  Inc.;1014739;RETAIL-DRUG STORES AND PROPRIETARY STORES [5912];2012;;;64707000;;-12779000;;-4473000;;;64707000;;;;;-587000;13288000;;224960000;;73047000;;662637000;-4439000;;;;;64707000;-633000;-12779000;;;;437677000
CHARLES & COLVARD LTD;1015155;JEWELRY, SILVERWARE & PLATED WARE [3910];2012;;;;;327850;;-87012;;;4377654;22190908;0;;;;259590;;14176514;;;;;-4049804;;;;;4377654;239745;327850;;;;9971663
WINTRUST FINCIAL CORP;1015328;STATE COMMERCIAL BANKS [6022];2012;;1906000;102103000;;180132000;;63046000;10589000;;111196000;;;;;7811000;;;;9093000;;121785000;627021000;68936000;1156000;;121785000;;111196000;;180132000;;;;
UNITED STATES ANTIMONY CORP;101538;PRIMARY SMELTING & REFINING OF NONFERROUS METALS [3330];2012;0.427;;-607185;;-391429;;;;;-558536;;;;;;-318687;;1034900;;;;12042702;167107;;1353587;;;-558536;;-391429;;;;11007802
E TRADE FINCIAL CORP;1015780;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2012;-0.14;;;;-130964000;;;;;-112583000;;;1292000;;;382774000;;;;;-35882000;;-18381000;;;-35882000;;-112583000;;;;;;
Ultimate Software Group Inc;1016125;SERVICES-PREPACKAGED SOFTWARE [7372];2012;;;;;28739000;;10060000;;;14632000;;;;;1402000;29113000;;187804000;;0;14798000;332268000;14107000;2470000;158691000;14798000;;14632000;;28739000;;;;144464000
CARVER BANCORP INC;1016178;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2013;0.331;;662000;;45000;;337000;404000;;;;;;;49000;662000;;;;;1066000;23785000;328000;;;1066000;-945000;-283000;;;;;;
CARRIAGE SERVICES INC;1016281;SERVICES-PERSOL SERVICES [7200];2012;0.397;;11389000;;19249000;;6547000;;;11403000;;;;;689000;38417000;;61875000;;-204000;;204149000;7642000;;23458000;;;11389000;;19249000;;;;142274000
APRICUS BIOSCIENCES  INC.;1017491;PHARMACEUTICAL PREPARATIONS [2834];2012;0.02;;;;-25044000;;;;;-31771000;;;;;;-24894000;;3862000;;-6211000;-31130000;8416000;516000;;28756000;-31130000;;-31771000;;-25044000;;;;4230000
DOVER MOTORSPORTS INC;1017673;SERVICES-AMUSEMENT & RECREATION SERVICES [7900];2012;0.433;;4504000;;8062000;;;;;4571000;;;;;;9185000;;;;;4333000;46747000;3491000;;37562000;4333000;;4571000;;;;;;
Marathon Oil Corp;101778;CRUDE PETROLEUM & TURAL GAS [1311];2012;0.74;;1582000000;;;;;-63000000;;1582000000;;;370000000;;;;36000000;;;0;1519000000;;;;;;;1582000000;;;;;;
EDGEWATER TECHNOLOGY INC/DE/;1017968;SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC. [7370];2012;;;1447000;;1848000;;628000;;;1447000;;188000;;;174000;1915000;;35279000;;;1423000;100881000;401000;676000;33364000;1423000;;1447000;;1848000;;;;65602000
WILLIS LEASE FINCE CORP;1018164;WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES [5080];2012;0.43;;-3793000;;2696000;;916000;7661000;;1535000;147153000;;1759000;;185000;937000;;;;;9196000;148090000;1161000;;;9196000;;1535000;97000;;;;;
UNITED TECHNOLOGIES CORP /DE/;101829;AIRCRAFT ENGINES & ENGINE PARTS [3724];2012;0.248;;;;;;;44000000;-368000000;;;;;;;;;;;290000000;;;1711000000;;;;360000000;;;;;;;
ENTERPRISE BANCORP INC /MA/;1018399;STATE COMMERCIAL BANKS [6022];2012;0.339;;12375000;;18723000;;6366000;903000;;12375000;;;;;968000;;;;;;13278000;68405000;6348000;;;13278000;;12375000;;18723000;;;;
AMAZON COM INC;1018724;RETAIL-CATALOG & MAIL-ORDER HOUSES [5961];2012;0.786;;;;544000000;;;77000000;;-39000000;;;-155000000;;;676000000;;;;;38000000;;428000000;;;38000000;;-39000000;;544000000;;;;
ABERCROMBIE & FITCH CO /DE/;1018840;RETAIL-FAMILY CLOTHING STORES [5651];2012;0.354;;;;366945000;;;-19579000;;;;;;;;374233000;;;;0;217432000;;129934000;;;217432000;;237011000;;366945000;;;;1694096000
ALLEGHENY TECHNOLOGIES INCORPORATED;1018963;STEEL PIPE & TUBES [3317];2012;;;158400000;;244000000;;85400000;-85900000;11300000;158400000;;-1.00E+07;;1400000;5200000;315400000;;;;;81900000;;76200000;;;70600000;9400000;167800000;-400000;244000000;;;;
AMERISAFE INC;1018979;FIRE, MARINE & CASUALTY INSURANCE [6331];2012;;;29353000;;37143000;;1.30E+07;;;29353000;;;;-100000;302000;;;;;;30117000;321248000;7790000;;;30117000;;29353000;;37143000;;;;
VIGANT CONSULTING INC;1019737;SERVICES-MAGEMENT CONSULTING SERVICES [8742];2012;0.418;;46169000;;79355000;;;4057000;;46169000;;;;;;83858000;;;;;50226000;844641000;33186000;;;50226000;;46169000;;79355000;;;;596230000
PENSKE AUTOMOTIVE GROUP  INC.;1019849;RETAIL-AUTO DEALERS & GASOLINE STATIONS [5500];2012;;;185540000;;288988000;;101146000;17610000;1879000;185540000;;-11775000;27572000;-746000;7071000;364858000;;2012948000;;-7491000;204777000;;94330000;;;202898000;1627000;187167000;-1366000;;;;;
UNIVERSAL ELECTRONICS INC;101984;HOUSEHOLD AUDIO & VIDEO EQUIPMENT [3651];2012;;;;;24638000;0;8377000;;;16553000;;-3488000;;;-246000;26202000;;133437000;;;16667000;463090000;8085000;388000;;16667000;;16553000;;24638000;;;;329653000
CERUS CORP;1020214;SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841];2012;;;;;-15675000;;-5329000;;;-15917000;;-53000;;;;-17300000;;16079000;;;-15917000;36786000;242000;;33470000;-15917000;;-15917000;;-15675000;;;;20616000
UNIVERSAL CORP /VA/;102037;WHOLESALE-FARM PRODUCT RAW MATERIALS [5150];2013;0.32;;117900000;;207285000;;;5156000;8504000;132750000;;;5088000;;;223009000;0;;;;146075000;;66366000;;;137571000;8169000;140919000;;207285000;;;;1999282000
IRON MOUNTAIN INC;1020569;PUBLIC WAREHOUSING & STORAGE [4220];2012;0.385;;171708000;;298366000;;104428000;23186000;3795000;;;-30798000;;;6946000;557027000;;;;-8659000;198020000;;114873000;;;194225000;3126000;174834000;;298366000;;;;
DXP ENTERPRISES INC;1020710;WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT [5084];2012;;;50895000;;85009000;;29753000;;;50985000;;;;;2917000;90522000;;319091000;;;51980000;1097110000;34024000;;;;;50985000;;;;;;778019000
UNITED TURAL FOODS INC;1020859;WHOLESALE-GROCERIES & GENERAL LINE [5141];2013;;1374000;107854000;;174116000;;60940000;;;;;;;-2455000;7501000;185494000;;1025076000;;;104866000;;66262000;1516000;839582000;104866000;;107854000;;174116000;;;;
FAMOUS DAVES OF AMERICA INC;1021270;RETAIL-EATING PLACES [5812];2012;0.156;;4360000;;;;;;;4360000;148775000;;;;;6213000;;;;;;154988000;805000;;38364000;;;4360000;;;;;;
TIOL OILWELL VARCO INC;1021860;OIL & GAS FILED MACHINERY & EQUIPMENT [3533];2012;;;;;;;;;;;;;58000000;;;;;;;;130000000;;1022000000;30000000;;;-8000000;;128000000;;;;;
QUEST DIAGNOSTICS INC;1022079;SERVICES-MEDICAL LABORATORIES [8071];2012;0.376;;;;;;;22387000;36413000;555721000;;;25625000;;;1200797000;;;;-74364000;614521000;;401897000;;;578108000;36413000;592134000;;;;;;
UNIVEST CORP OF PENNSYLVANIA;102212;STATE COMMERCIAL BANKS [6022];2012;0.21;;20872000;;26423000;;;-819000;;20872000;;;;;;;;;;;;80654000;5551000;;;;;20872000;;26423000;;;;
GENESIS ENERGY LP;1022321;WHOLESALE-PETROLEUM BULK STATIONS & TERMILS [5171];2012;;;96319000;;87114000;-8205000;-939000;;0;96319000;;;14345000;-355000;460000;113690000;;;;;96319000;;-9205000;;;96319000;0;96319000;;;;;;
EPLUS INC;1022408;WHOLESALE-COMPUTER & PERIPHERAL EQUIPMENT & SOFTWARE [5045];2013;0.407;;34162000;;58745000;;20555000;;;34830000;924367000;;;;2894000;;;;;;-55000;983112000;23915000;;146028000;34775000;;34830000;;;;;;767447000
DELTIC TIMBER CORP;1022469;SAWMILLS, PLANNING MILLS, GENERAL [2421];2012;;;9144000;;14036000;;4913000;-4374000;;9235000;123776000;;959000;;446000;17132000;;35560000;;;4861000;140908000;4801000;;;4861000;;9235000;;;;;;94706000
Ultra Petroleum Corp.;1022646;CRUDE PETROLEUM & TURAL GAS [1311];2012;;;;;;;-1006989000;;;;;;;;-136112000;;;;;;;809974000;-700213000;;;;;;;;;;;
STEEL DYMICS INC;1022671;STEEL WORKS, BLAST FURCES  ROLLING MILLS (COKE OVENS) [3312];2012;0.303;;163551000;;204066000;;;;;;;;;;;391165000;;719898000;;;142281000;;61785000;;328733000;;-21270000;142281000;;;;;;
TESCO CORP;1022705;OIL & GAS FILED MACHINERY & EQUIPMENT [3533];2012;0.332;;;;74595000;;;;;49814000;;;;;;76795000;;;;;;553139000;24781000;;476344000;;;49814000;;74595000;;;;257561000
SIMULATIONS PLUS INC;1023459;SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN [7373];2013;0.322;;3141384;;4256780;;;;;2886598;;;;;;4072371;;8424240;;0;;10071;1370182;;4351869;;;2886598;;4256780;;;;1646530
8X8 INC /DE/;1023731;TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813];2013;;;13939000;;23672000;;8048000;;;13939000;;;;;846000;23567000;;;;;13961000;107614000;9733000;;84047000;13961000;;13939000;;;;;;22201000
STEWARDSHIP FINCIAL CORP;1023860;STATE COMMERCIAL BANKS [6022];2012;;;168000;;273000;;93000;;;520000;;;;;-2000;;;;352000;;-394000;28707000;-247000;;;-394000;;520000;;273000;;;;
PERNIX THERAPEUTICS HOLDINGS  INC.;1024126;PHARMACEUTICAL PREPARATIONS [2834];2012;0.21;;-1410156;;;;;;;-1410156;63001891;;;;;-1689332;;;;;475594;61312559;-373999;;;475594;;-1410156;;;;;;23376895
ROCKWELL AUTOMATION INC.;1024478;MEASURING & CONTROLLING DEVICES, NEC [3829];2013;0.229;;756300000;;980900000;;;407600000;;756300000;;;;;;;;;;0;1163900000;;224600000;;;1163900000;;756300000;;980900000;;;;451700000
