EntityRegistrantme;EntityCentralIndexKey;standardIndustrialClassification;DocumentFiscalYearFocus;ETR;Tax_Credit_Total;NetIncomeAvailableToCommonStockholdersBasic;NonoperatingIncomeLossPlusInterestAndDebtExpense;IncomeFromContinuingOperationsBeforeTax;Tax_Settlement_Total;Federal_Income;OtherComprehensiveIncome;ComprehensiveIncomeAttributableToNoncontrollingInterest;NetIncomeAttributableToParent;CostsAndExpenses;Foreign_Income;IncomeFromEquityMethodInvestments;Other_Reconciling_Total;State_Local_Income;OperatingIncomeLoss;OtherOperatingIncome;GrossProfit;PreferredStockDividendsAndOtherAdjustments;IncomeFromDiscontinuedOperations;ComprehensiveIncome;Revenues;IncomeTaxExpenseBenefit;NondeductibleExpense_Total;OperatingExpenses;ComprehensiveIncomeAttributableToParent;NetIncomeAttributableToNoncontrollingInterest;NetIncomeLoss;Tax_Contingency_Total;IncomeBeforeEquityMethodInvestments;Deduction_Total;ExtraordaryItemsGainLoss;IncomeFromContinuingOperationsAfterTax;CostOfRevenue
HILLS BANCORPORATION;732417;STATE COMMERCIAL BANKS [6022];2013;0.296;1992000;25931000;;36843000;;12895000;-2364000;;25931000;;;;;1216000;;;;;;23567000;;10912000;;;23567000;;25931000;;36843000;;;;
VERIZON COMMUNICATIONS INC;732712;TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813];2013;0.196;;;;;;;;;;;;142000000;;;;;;;;;;;;;;;;;;;;;
AT&T Inc.;732717;TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813];2013;0.332;;;;;;9.72E+12;;302000000;;;;642000000;-792000000;294000000;;;;;;;;;;;;304000000;;;;;;;
NUCOR CORP;73309;STEEL WORKS, BLAST FURCES  ROLLING MILLS (COKE OVENS) [3312];2013;0.2599;;486106000;;791123000;;;-47681000;97504000;488025000;;;9297000;;;;;;;;537848000;;205594000;;;440344000;97504000;585529000;;;;;;
CNB FINCIAL CORP/PA;736772;STATE COMMERCIAL BANKS [6022];2013;0.275;;16606000;;23019000;;8057000;;;16679000;;;;;;;;;;;-6690000;71416000;6340000;;;-6690000;;16679000;;23019000;;;;
OCEANEERING INTERTIOL INC;73756;OIL, GAS FIELD SERVICES, NBC [1389];2013;0.315;;;;;;;-70423000;;;;;133000;;;545116000;;765536000;;;301077000;;170836000;;;;;371500000;;;;;;1624483000
TORO CO;737758;LAWN & GARDEN TRACTORS & HOME LAWN & GARDEN EQUIPMENT [3524];2014;0.322;;173870000;;256445000;;;3135000;;;;;7262000;;;263157000;;773271000;;;170735000;;82575000;;;170735000;;173870000;;256445000;;;;1399420000
AEMETIS  INC.;738214;INDUSTRIAL ORGANIC CHEMICALS [2860];2013;-2.00E-04;0;-24437209;;-24431444;;-8306690;;;-24437209;;;;;-695240;2479730;;18293760;;;-25035652;177513972;5765;;;-25035652;;-24437209;;-24431444;;;;159220212
Bristow Group Inc.;73887;AIR TRANSPORTATION, NONSCHEDULED [4522];2014;0.234;;186737000;;244991000;;;43177000;-39000;186737000;;;8666000;;;;;;;;229875000;1669582000;57212000;;1494592000;;1042000;187779000;;;;;;
CITIZENS FINCIAL SERVICES INC;739421;STATE COMMERCIAL BANKS [6022];2013;0.219;;13375000;;17127000;;5823000;-5856000;;13375000;;;;;;;;;;;7519000;36234000;3752000;;;7519000;;13375000;;17127000;;;;
OIL DRI CORP OF AMERICA;74046;MISCELLANEOUS MANUFACTURING INDUSTRIES [3990];2014;0.263;;;;11337000;;;-3228000;;;;;;;;12418000;;59650000;;;5128000;;2981000;;;;;8356000;;11337000;;;;206663000
FIRST OF LONG ISLAND CORP;740663;TIOL COMMERCIAL BANKS [6021];2013;0.212;;21300000;;27035000;;;;;21300000;;;;;;;;;;;6222000;74851000;5735000;;;6222000;;21300000;;27035000;;;;
R F INDUSTRIES LTD;740664;ELECTRONIC CONNECTORS [3678];2013;0.269;;3828000;;6798000;;2315000;;;3828000;;;;-74000;232000;6778000;;15965000;;;;36625000;1830000;;9187000;;0;3828000;;6798000;;;;20660000
OKLAHOMA GAS & ELECTRIC CO;74145;ELECTRIC SERVICES [4911];2013;0.279;;;;406100000;;;1300000;;292600000;;;;;;525300000;;;;;293900000;;113500000;;771000000;293900000;;292600000;;;;;;
HOOPER HOLMES INC;741815;SERVICES-MISC HEALTH & ALLIED SERVICES, NEC [8090];2013;0;;;;-10236000;;;;;-11275000;;;;;;-9756000;;11542000;;-4450000;;49160000;19000;;;;;-11275000;;-10236000;;;;37618000
INVACARE CORPORATION;742112;ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES [3842];2013;0.33;;33051000;;-38340000;;;12413000;;33051000;;;0;;;;;377466000;;80943000;45464000;1352359000;12660000;;;45464000;;33051000;;-38340000;;;;974893000
US ECOLOGY  INC.;742126;REFUSE SYSTEMS [4953];2013;0.359;;32151000;;50147000;;;;;;;;;;;52931000;;78986000;;;29738000;201126000;17996000;;;29738000;;32151000;;50147000;;;;
Old Republic Intertiol Corporation;74260;SURETY INSURANCE [6351];2013;0.334;;447800000;;672900000;;;;;447800000;;;;;;;;;;;344300000;;225000000;;;344300000;;447800000;;672900000;;;;
Olin Corporation;74303;CHEMICALS & ALLIED PRODUCTS [2800];2013;0.286;;178600000;;250000000;;;;;178600000;;;2800000;;;286500000;700000;;;;184800000;;71400000;;;184800000;;178600000;;;;;;2033700000
MAXIM INTEGRATED PRODUCTS INC;743316;SEMICONDUCTORS & RELATED DEVICES [3674];2014;0.133;;354810000;;409226000;;;-1426000;;354810000;;;;;;422291000;;1384765000;;0;353384000;;54416000;;962474000;353384000;;354810000;;409226000;;;;1068898000
ROSS STORES INC;745732;RETAIL-FAMILY CLOTHING STORES [5651];2013;0.38;;837304000;;1343310000;;;;;837304000;;;;;;;;;;;837108000;;506006000;;;837108000;;837304000;;1343310000;;;;
BRADY CORP;746598;MISCELLANEOUS MANUFACTURING INDUSTRIES [3990];2014;0.093;;-45968000;;-53109000;;;8093000;;-45968000;;;;;;-41211000;;609564000;;2178000;-37875000;;-4963000;;650775000;-37875000;;-45968000;;-53109000;;;;615470000
ICAD INC;749660;SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841];2013;-0.016;;-7608000;;-7482000;;;;;-7608000;;;;;;-1776000;;23085000;;;;5600000;126000;;24861000;;;-7608000;;;;;;3111000
SCIENTIFIC GAMES CORP;750004;SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN [7373];2013;0.821;;-30200000;;-143300000;;;;;-30200000;;;1500000;;;-18300000;;;;-4600000;-8900000;1090900000;-117700000;;;-8900000;;-30200000;;;;;;203100000
SUNTRUST BANKS INC;750556;TIOL COMMERCIAL BANKS [6021];2013;0.169;84000000;1297000000;;1634000000;;5.66E+08;-598000000;;1344000000;;;;;20000000;;;;;;746000000;;273000000;49000000;;746000000;17000000;1361000000;;1634000000;;;;
Auburn tiol Bancorporation  Inc;750574;STATE COMMERCIAL BANKS [6022];2013;0.244;0;;;9408000;;3199000;-9726000;;;;;0;;242000;;;;;;-2608000;27458000;2290000;;;-2608000;;7118000;;;;;;
HANCOCK HOLDING CO;750577;STATE COMMERCIAL BANKS [6022];2013;0.24;17454000;163356000;;215866000;;75553000;-12454000;;163356000;;;;;2352000;;;;;;150902000;722210000;52510000;;;150902000;;163356000;;215866000;;;;
VICOR CORP;751978;ELECTRONIC COMPONENTS, NEC [3679];2013;0.148;;;;-20465000;;;-479000;71000;-23640000;;;;;;-20467000;;81479000;;;-23983000;199160000;3039000;;101946000;-24054000;136000;-23504000;;-20465000;;;;117681000
OVERSEAS SHIPHOLDING GROUP INC;75208;DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT [4412];2013;0.023;1489000000;;;-652975000;;;44437000;;-638230000;1383194000;;40894000;;;-367198000;;;;;-593793000;1015996000;-14745000;;;-593793000;;-638230000;;;;;;
OWENS & MINOR INC/VA/;75252;WHOLESALE-MEDICAL, DENTAL & HOSPITAL EQUIPMENT & SUPPLIES [5047];2013;0.401;;110144000;;184985000;;;9974000;;110882000;;;;;;198083000;;1117075000;;;120856000;;74103000;;;;;110882000;;184985000;;;;
OXFORD INDUSTRIES INC;75288;MEN'S & BOYS' FURNISHINGS, WORK CLOTHING, AND ALLIED GARMENTS [2320];2013;0.437;;45291000;;80501000;;;;;;;;;;;84670000;;513574000;;0;46258000;917097000;35210000;;;46258000;;45291000;;80501000;;;;403523000
P&F INDUSTRIES INC;75340;METALWORKING MACHINERY & EQUIPMENT [3540];2013;0.3;;3225000;;4604000;;;;;3225000;;;;;;5007000;;27332000;;;;76066000;1379000;;;;;3225000;;;;;;48734000
PACCAR INC;75362;MOTOR VEHICLES & PASSENGER CAR BODIES [3711];2013;0.309;;1171300000;;1695000000;;;168200000;;1171300000;;;;;;;;;;;1339500000;;523700000;;;1339500000;;1171300000;;1695000000;;;;
SUFFOLK BANCORP;754673;TIOL COMMERCIAL BANKS [6021];2013;0.23;;12718000;;16440000;;;-10175000;;12718000;;;;;;;;;;;2543000;59678000;3722000;;;2543000;;12718000;;16440000;;;;
U S GLOBAL INVESTORS INC;754811;INVESTMENT ADVICE [6282];2014;0.418;;-970000;;-1237000;;-421000;263000;16000;-970000;;;20000;;;-3402000;;;;-243000;-700000;;-517000;;14841000;-716000;7000;-963000;;;;;;
UNITIL CORP;755001;ELECTRIC & OTHER SERVICES COMBINED [4931];2013;0.37;;21600000;;;;;;;21600000;;;;;;53500000;;;;;;366900000;12652000;;;;;21600000;;;;;;
USG CORP;757011;CONCRETE GYPSUM  PLASTER PRODUCTS [3270];2013;0.186;;47000000;;59000000;;2.10E+07;257000000;;47000000;;-6.00E+06;;-3000000;1000000;258000000;;581000000;;0;303000000;;11000000;;;;-1000000;46000000;;59000000;;;;
VIDEO DISPLAY CORP;758743;ELECTRONIC COMPONENTS & ACCESSORIES [3670];2014;0.08;;;;-5946000;;-2022000;;;-2681000;;;;;-69000;-5825000;;-1078000;;2779000;;;-486000;12000;4747000;;;-2681000;;-5946000;;;;15489000
PARKER DRILLING CO /DE/;76321;DRILLING OIL & GAS WELLS [1381];2013;0.49;;;;52787000;;18476000;1526000;-198000;27015000;705725000;12470000;;;4099000;101872000;;168447000;;;28903000;874172000;25608000;;571672000;28705000;164000;27179000;2472000;52787000;;;;
PARKER HANNIFIN CORP;76334;MISCELLANEOUS FABRICATED METAL PRODUCTS [3490];2014;0.331;;1041048000;;1556720000;;;284312000;;1041048000;;;;;;1790207000;;;;;1325383000;;515302000;;;1325383000;370000;1041418000;;1556720000;;;;
FIRST UNITED CORP/MD/;763907;TIOL COMMERCIAL BANKS [6021];2013;0.257;;4668000;;8668000;;;-2390000;;6446000;;;;;;;;;1778000;;4056000;49914000;2222000;;;4056000;;6446000;;8668000;;;;
CLIFFS TURAL RESOURCES INC.;764065;METAL MINING [1000];2013;0.35;;364800000;;489300000;;171300000;-26800000;30500000;413500000;;-10200000;-74400000;;5600000;671000000;;1149300000;;2000000;335000000;;55100000;;478300000;;-51700000;361800000;;489300000;;;;
ALTRIA GROUP  INC.;764180;CIGARETTES [2111];2013;0.347;;;;;;;662000000;0;;;;991000000;;;;;;;;;;;;;;0;;;;;;;
BEST BUY CO INC;764478;RETAIL-RADIO TV & CONSUMER ELECTRONICS STORES [5731];2014;0.367;;532000000;;1087000000;;3.80E+08;;126000000;532000000;;-1.30E+07;0;6000000;25000000;1140000000;;;;-166000000;1038000000;;398000000;;;912000000;;523000000;;1087000000;;;;
CATERPILLAR FINCIAL SERVICES CORPORATION;764764;MISCELLANEOUS BUSINESS CREDIT INSTITUTION [6159];2013;0.243;;530000000;;718000000;;2.51E+08;-56000000;17000000;530000000;;-6.90E+07;;;-1000000;;;;;;488000000;;174000000;;;471000000;14000000;544000000;;718000000;;;;
Banyan Rail Services Inc.;764897;SANITARY SERVICES [4950];2013;0;;520368;;-505976;;;;;1142827;;;;;;;;;622459;-239130;;;0;;;;;1142827;;-505976;;;;
ALASKA AIR GROUP  INC.;766421;AIR TRANSPORTATION, SCHEDULED [4512];2013;0.377;;;;816000000;;2.86E+08;253000000;;508000000;;;;-3000000;21000000;838000000;;;;;761000000;0;308000000;4000000;;761000000;;508000000;;816000000;;;;
CYBEROPTICS CORP;768411;OPTICAL INSTRUMENTS & LENSES [3827];2013;0.029;;;;-6354000;;;-383000;;-6168000;;;;;;-6166000;;14650000;;;-6551000;33308000;-186000;;;-6551000;;-6168000;;;;;;18658000
BIG LOTS INC;768835;RETAIL-VARIETY STORES [5331];2013;0.329;;125295000;;185887000;;;-181000;;125295000;;;;;;190439000;;2065306000;;526000;125114000;;61118000;;;125114000;;125295000;;185887000;;;;
TrueBlue  Inc.;768899;SERVICES-HELP SUPPLY SERVICES [7363];2013;0.263;10800000;;;60937000;;21300000;-785000;;44924000;;;;900000;2500000;59583000;;442303000;;;44139000;1668929000;16013000;2100000;;44139000;;44924000;;60937000;;;;1226626000
MIDDLEBY CORP;769520;REFRIGERATION & SERVICE INDUSTRY MACHINERY [3580];2013;0.318;;;;225781000;;;;;153928000;;;;;;244462000;;550011000;;;157692000;1428685000;71853000;;;157692000;;153928000;;225781000;;;;878674000
PEOPLES FINCIAL CORP /MS/;770460;STATE COMMERCIAL BANKS [6022];2013;0.8;298000;-538000;;-2739000;;-931000;-10888000;;-538000;;;;;;;;;;;-11426000;;-2201000;;;-11426000;;-538000;;-2739000;;;;
ABM INDUSTRIES INC /DE/;771497;SERVICES-TO DWELLINGS & OTHER BUILDINGS [7340];2014;0.392;;75600000;;124400000;;;-1100000;;75600000;;;6500000;;;128600000;;;;0;74500000;;48800000;;;74500000;;75600000;;;;;;
CHAMPIONS ONCOLOGY  INC.;771856;BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES) [2836];2014;-0.002;;;;-7389000;;;;;-7406000;;;;;;-6260000;;;;;-7306000;11550000;17000;;17810000;-7306000;;-7406000;;;;;;
CIRRUS LOGIC INC;772406;SEMICONDUCTORS & RELATED DEVICES [3674];2014;0.306;;108111000;;155737000;;;;;108111000;;;;;;155016000;;356163000;;;108144000;714338000;47626000;;201147000;108144000;;108111000;;155737000;;;;358175000
Honeywell Intertiol Inc;773840;MOTOR VEHICLE PARTS & ACCESSORIES [3714];2013;0.268;;;;;;;;36000000;;;;36000000;;;;;;;0;;;1450000000;;;;38000000;;;;;;;
PEPSICO INC;77476;BEVERAGES [2080];2013;0.237;;;;;;;358000000;45000000;;;;;;;;;;1000000;;;;2104000000;;;;47000000;;;;;;;
OSHKOSH CORP;775158;MOTOR VEHICLES & PASSENGER CAR BODIES [3711];2014;0.29;;308100000;;431900000;;;-54600000;0;309300000;;;-2000000;;;503300000;;1182700000;;0;254700000;;125000000;;679400000;254700000;0;309300000;;431900000;;;;
ALLEGHANY CORP /DE;775368;FIRE, MARINE & CASUALTY INSURANCE [6331];2013;0.264;;628421000;;855236000;;;-63600000;933000;628421000;;;;;;;;;;;565776000;;225882000;;;564843000;933000;629354000;;855236000;;;;
TUTOR PERINI Corp;77543;GENERAL BUILDING CONTRACTORS - NONRESIDENTIAL BUILDINGS [1540];2013;0.375;;;;139615000;;48865000;;;87296000;;;;;6236000;203822000;;466904000;;;97491000;;52319000;;;97491000;;87296000;;;;;;
CH2M HILL COMPANIES LTD;777491;SERVICES-ENGINEERING SERVICES [8711];2013;0.3;36948000;118334000;;181860000;;59165000;-8291000;12818000;;;-12554000;54010000;;8076000;192362000;;;;;122861000;;50708000;;;110043000;12818000;131152000;;;;;;
PHH CORP;77776;MISCELLANEOUS BUSINESS CREDIT INSTITUTION [6159];2013;0.318;;135000000;;241000000;;8.40E+07;-10000000;29000000;;;;;;9000000;;;;;;154000000;;77000000;;;125000000;29000000;164000000;;241000000;;;;
PDC ENERGY  INC.;77877;CRUDE PETROLEUM & TURAL GAS [1311];2013;0.359;;-22301000;;-41269000;;;;;;401155000;;;;;10159000;6034000;;;4171000;;411314000;-14797000;;;;;-22301000;;-41269000;;;;
ASSOCIATED BANC-CORP;7789;STATE COMMERCIAL BANKS [6022];2013;0.296;;183534000;;267893000;;;-72847000;;188692000;;;;;;;;;5158000;;115845000;958642000;79201000;;;115845000;;188692000;;267893000;;;;
HENRY JACK & ASSOCIATES INC;779152;SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN [7373];2014;0.354;;201136000;;311271000;;;;;201136000;;;;;;311999000;;518629000;;;;1210053000;110135000;;206630000;;;201136000;;311271000;;;;691424000
PFIZER INC;78003;PHARMACEUTICAL PREPARATIONS [2834];2013;0.274;;;;;;;;7000000;;;;;;;;;;;;;;;;;;69000000;;;;;;;
ITRON INC /WA/;780571;INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGLS [3825];2013;0.025;10352000;;;-148254000;;-51889000;12627000;2184000;-146809000;;-10212000;;;-2291000;-135181000;;614533000;;;-131963000;1948728000;-3664000;;749714000;-134147000;2219000;-144590000;1360000;-148254000;;;;1334195000
AQUA AMERICA INC;78128;WATER SUPPLY [4941];2013;0.1;;221300000;;;;;231000;;221300000;463401000;;;;1536000;305242000;;;;16307000;221531000;768643000;22690000;;;221531000;;221320000;;;;;;
PVH CORP. /DE/;78239;MEN'S & BOYS' FURNISHINGS, WORK CLOTHING, AND ALLIED GARMENTS [2320];2013;0.564;;143537000;;328766000;;;-97560000;-2149000;143537000;;;8056000;;;;;;;;43828000;;185284000;;;45977000;-55000;143482000;;;;;;
POPE RESOURCES LTD PARTNERSHIP;784011;FORESTRY [0800];2013;-0.03;;;;11404000;;;;;13135000;;;;;;12932000;;;;;13135000;70692000;-307000;;18134000;;-1424000;11711000;;11404000;;;;39626000
PORTLAND GENERAL ELECTRIC CO /OR/;784977;ELECTRIC SERVICES [4911];2013;0.168;;;;125000000;;;;;105000000;1604000000;;;;;206000000;;;;;105000000;;21000000;;;106000000;-1000000;104000000;;125000000;;;;
HEALTHSOUTH CORP;785161;SERVICES-HOSPITALS [8060];2013;0.032;;231000000;;395200000;;;-1500000;57800000;323600000;1764900000;;11200000;;;;;;;-1100000;379900000;;12700000;;;322100000;57800000;381400000;;;;;;
PITNEY BOWES INC /DE/;78814;OFFICE MACHINES, NEC [3579];2013;0.206036059;-10282000;142835000;;403177000;-3853000;141118000;106657000;;142835000;;-29865000;;;-1733000;;;;;-158898000;267867000;;83069000;;;249492000;;161210000;;403177000;;;;
BRINKS CO;78890;ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO [4731];2013;0.351;;;;148200000;;;154600000;22500000;56800000;;;6700000;;;171700000;300000;;;-15100000;235700000;;52000000;;;213200000;24300000;81100000;;148200000;;;;
PRO DEX INC;788920;SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841];2014;0.14;;;;-755000;;257000;;;-488000;;;;;-10000;-814000;;2966000;;163000;-291000;10812000;-104000;-31000;3780000;;;-488000;;;;;;7846000
MICROSOFT CORPORATION;789019;SERVICES-PREPACKAGED SOFTWARE [7372];2014;0.207;;;;;;;1965000000;;;;;;;;;;;;;;;;;;;;;;;;;;
WORLD FUEL SERVICES CORP;789460;WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS) [5172];2013;0.16;;203075000;;246665000;;;-13301000;4085000;;;;;;;264358000;;752758000;;;193859000;;39505000;;488400000;189774000;4085000;207160000;;246665000;;;;
CCO INDUSTRIES INC;789933;INDUSTRIAL TRUCKS TRACTORS TRAILERS & STACKERS [3537];2013;0.202;;;;55720000;;19502000;9332000;;44450000;;;1432000;;136000;61336000;;221291000;;0;54052000;932666000;11270000;1081000;206384000;54052000;;44450000;;55720000;;;44450000;711375000
CARLISLE COMPANIES INC;790051;FABRICATED RUBBER PRODUCTS, NEC [3060];2013;0.294;;209700000;;333000000;;116600000;;;209700000;;-3.00E+06;;;6200000;366800000;;745600000;;-25500000;213700000;;97800000;;378800000;213700000;;209700000;;333000000;;;;
RadNet  Inc.;790526;SERVICES-MEDICAL LABORATORIES [8071];2013;0.5964;;2120000;;5886000;;;;-256000;2120000;;;6194000;;;43603000;;;;;2543000;702986000;3510000;;659383000;2287000;256000;2376000;;5886000;;;;598655000
TECH DATA CORP;790703;WHOLESALE-COMPUTER & PERIPHERAL EQUIPMENT & SOFTWARE [5045];2013;0.201;;176255000;;229466000;;;47590000;4881000;176255000;;;;;;263720000;;1303054000;;;230630000;;46426000;;1039334000;225749000;6785000;183040000;;229466000;;;;
TECH DATA CORP;790703;WHOLESALE-COMPUTER & PERIPHERAL EQUIPMENT & SOFTWARE [5045];2014;0.119;;179932000;;204309000;;;-5536000;0;179932000;;;;;;227513000;;1362346000;;;174396000;;24377000;;1134833000;174396000;0;179932000;;204309000;;;;
STAPLES INC;791519;RETAIL-MISCELLANEOUS SHOPPING GOODS STORES [5940];2013;0.335;;620069000;;1062805000;;;;631000;620069000;;;0;;;1177501000;;;;-86935000;502319000;;355801000;;;501688000;0;620069000;;1062805000;;;;
OPPENHEIMER HOLDINGS INC;791963;SECURITY BROKERS, DEALERS & FLOTATION COMPANIES [6211];2013;0.404;;25061000;;43909000;;15368000;;1092000;25061000;;185000;;;2131000;;;;;;27655000;1019714000;17756000;;975805000;26563000;1092000;26153000;;;;;;
BROWN & BROWN INC;79282;INSURANCE AGENTS BROKERS & SERVICES [6411];2013;0.393;;211666000;;357609000;;;;;217112000;;;;;;;;;;;;1363279000;140497000;;1005670000;;;217112000;;357609000;;;;
AMAG PHARMACEUTICALS INC.;792977;PHARMACEUTICAL PREPARATIONS [2834];2013;0;;-9602000;;-9602000;;;;;;92473000;;;;;;;;;;-9846000;80856000;;;;-9846000;;-9602000;;-9602000;;;;11960000
BLUE DOLPHIN ENERGY CO;793306;CRUDE PETROLEUM & TURAL GAS [1311];2013;-0.0249;;-3807129;58116;-3717874;;;;;-3807129;413319059;;;;;-3775990;;;;0;;409543069;-89255;;-411976496;;;-3807129;;-3717874;;;;
HARLEY DAVIDSON INC;793952;MOTORCYCLES, BICYCLES & PARTS [3751];2013;0.341;;733993000;;1114305000;;;275002000;;733993000;;;;;;1153702000;;;;0;1008995000;;380312000;;;1008995000;;733993000;;1114305000;;;;
MERIDIAN BIOSCIENCE INC;794172;IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES [2835];2014;0.333;-225000;;;52108000;;18238000;;;34743000;;-430000;;;1061000;52392000;;117243000;;;34307000;188832000;17365000;50000;64851000;34307000;;34743000;;;;;;71589000
AMERICAN WOODMARK CORP;794619;MILLWOOD, VENEER, PLYWOOD & STRUCTURAL WOOD MEMBERS [2430];2014;0.392;;20461000;;33670000;;;6170000;;20461000;;;;;;34088000;;124177000;;300000;26631000;726515000;13209000;;;26631000;;20461000;;33670000;;;;602338000
PORTSMOUTH SQUARE INC;79661;LAND SUBDIVIDERS & DEVELOPERS (NO CEMETERIES) [6552];2014;0.376;;;;-10780000;;;;;-6924000;51790000;;337000;;;-827000;;;;;;50963000;-4053000;;49415000;;197000;-6727000;;;;;;
OCCIDENTAL PETROLEUM CORP /DE/;797468;CRUDE PETROLEUM & TURAL GAS [1311];2013;0.39;;;;;;;;;;;;395000000;;;;;;;-19000000;;;;;1801000000;;;;;;;;;
LAKELAND INDUSTRIES INC;798081;ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES [3842];2014;0.9598;;-119501;;-2970892;;;;;-119501;;;;;;-359009;;24833341;;0;-1377808;91380000;-2851391;;25192350;-1377808;;-119501;;;;;;66551354
FISERV INC;798354;SERVICES-COMPUTER PROCESSING & DATA PREPARATION [7374];2013;0.365;;648000000;;898000000;;;;;648000000;;;80000000;;;1061000000;;;;-2000000;648000000;;328000000;;;648000000;;648000000;;898000000;;;;2081000000
PPG INDUSTRIES INC;79879;PAINTS, VARNISHES, LACQUERS, EMELS & ALLIED PRODUCTS [2851];2013;0.224;;;;1489000000;;;399000000;;;;;-8000000;;;;;;;;;;333000000;;;;122000000;;;;;;;
ALMOST FAMILY INC;799231;SERVICES-SOCIAL SERVICES [8300];2013;0.419;;8048000;;14374000;;;;;;;;;;;14543000;;166544000;;-306000;;357812000;6020000;;;;-178000;8226000;;14374000;;;;
PAREXEL INTERTIOL CORP;799729;SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH [8731];2014;0.313;;;;187861000;;65751000;32128000;;129094000;;-4857000;;;5419000;199498000;;660182000;;;161222000;;58767000;69000;2066844000;161222000;;129094000;;187861000;;;;
TIOL PRESTO INDUSTRIES INC;80172;ORDNCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES) [3480];2013;0.293;;41252000;;58345000;;;;;41252000;;;;;;57614000;;79352000;;;41207000;420188000;17093000;;;41207000;;41252000;;58345000;;;;340836000
JOY GLOBAL INC.;801898;MINING MACHINERY & EQUIP (NO OIL & GAS FIELD MACH & EQUIP) [3532];2014;0.283;;331037000;;461792000;;;-27648000;0;331037000;;;;;;517140000;;;;0;303389000;;130755000;;;303389000;0;331037000;;461792000;;;;
CHOICEONE FINCIAL SERVICES INC;803164;STATE COMMERCIAL BANKS [6022];2013;0.26;;5094000;;6877000;;2338000;-2208000;;5094000;;;;;;;;;;;2886000;19015000;1783000;;;2886000;;5094000;;6877000;;;;
AIRGAS INC;804212;WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT [5084];2014;0.364;;350784000;;551905000;;;-3909000;;350784000;;;;;;630534000;;;;;346875000;85000000;201121000;;;346875000;;350784000;;;;;;
PROCTER & GAMBLE CO;80424;SOAP, DETERGENT, CLEANING PREPARATIONS, PERFUMES, COSMETICS [2840];2014;0.214;;;;;;;-163000000;150000000;;;;;;;;;;;78000000;;;;;;;142000000;;;;;;;
General Motors Fincial Company  Inc.;804269;FINCE SERVICES [6199];2013;0.359;;566000000;;883000000;;;14000000;;566000000;;;;;;;;;;;580000000;;317000000;;770000000;580000000;;566000000;;883000000;;;;
CERNER CORP /MO/;804753;SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN [7373];2013;0.32;18683000;398354000;;588054000;;205819000;;;398354000;;;;;17502000;576012000;;;;;390180000;;189700000;;1820014000;390180000;;398354000;-20000;;;;;142239000
EMISPHERE TECHNOLOGIES INC;805326;PHARMACEUTICAL PREPARATIONS [2834];2013;0.0013;;-20939000;;-20911000;;;;;-20939000;7604000;;;;;-7604000;;;;;;;28000;;;;;-20939000;;;;;;
PARK TIOL CORP /OH/;805676;TIOL COMMERCIAL BANKS [6021];2013;0.246;;77227000;;102358000;;;-17901000;;77227000;;;;;;;;;;;59326000;262947000;25131000;;;-17901000;;77227000;;102358000;;;;
Codorus Valley Bancorp Inc;806279;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2013;0.27;;10316000;;14483000;;;-3561000;;10566000;;;;;;;;;250000;;7005000;46972000;3917000;;;7005000;;10566000;;14483000;;;;
ASTRONICS CORP;8063;AIRCRAFT PART & AUXILIARY EQUIPMENT, NEC [3728];2013;0.286;;27266000;;38211000;;;1172000;;27266000;;;;;;42305000;;87858000;;;28438000;;10945000;;;28438000;;27266000;;38211000;;;;252079000
PSYCHEMEDICS CORP;806517;SERVICES-MEDICAL LABORATORIES [8071];2013;0.344;;3805210;;5798638;;;;;3805210;;;;;;5706365;;15394034;;;;26870297;1993428;;9687669;;;3805210;;;;;;11476263
PROGRESSIVE CORP/OH/;80661;FIRE, MARINE & CASUALTY INSURANCE [6331];2013;0.32;2300000;1165400000;;1720000000;;6.02E+08;80700000;;1165400000;;;;;;;;;;;1246100000;;554600000;;;1246100000;;1165400000;;1720000000;;;;
